List of Health Insurance Regulatory Returns ,,,,,
,,,,,
Sno.,Form Number,Description,Freq.,Timeline,Applicability
55,HIR-11-a-ii,State-wise channel-wise details of claims paid  - Individual Health Policies,Yearly, 60 days,Life/General/Health Insurers
56,HIR-11-b-i,State-wise channel-wise details of claims paid - Group PA Policies,Yearly, 60 days,General/Health Insurers
57,HIR-11-b-ii,State-wise channel-wise details of claims paid  - Individual PA Policies,Yearly, 60 days,General/Health Insurers
58,HIR-11-c,State-wise channel-wise details of claims paid  (Domestic Travel)(Group + Individual),Yearly, 60 days,General/Health Insurers
59,HIR-11-d,State-wise channel-wise details of claims paid  (Overseas Travel)(Group + Individual),Yearly, 60 days,General/Health Insurers
60,HIR-12-a-i,Details of large claim settled at state wise -through TPAs (Health),Yearly, 60 days,Life/General/Health Insurers
61,HIR-12-a-ii,Details of large claim settled at state wise -through In-House Settlement (Health),Yearly, 60 days,Life/General/Health Insurers
62,HIR-12-b-i,Details of large claim settled at state wise -through TPAs (PA),Yearly, 60 days,General/Health Insurers
63,HIR-12-b-ii,Details of large claim settled at state wise -through In-House Settlement (PA),Yearly, 60 days,General/Health Insurers
64,HIR-12-c-i,Details of large claim settled at state wise -through TPAs (Domestic Travel),Yearly, 60 days,General/Health Insurers
65,HIR-12-c-ii,Details of large claim settled at state wise -through In-House Settlement (Domestic Travel),Yearly, 60 days,General/Health Insurers
66,HIR-12-d-i,Details of large claim settled at state wise -through TPAs (Overses Travel),Yearly, 60 days,General/Health Insurers
67,HIR-12-d-ii,Details of large claim settled at state wise -through In-House Settlement(Overses Travel),Yearly, 60 days,General/Health Insurers
68,HIR-13 ,State-wise details on number of network providers,Yearly, 60 days,Life/General/Health Insurers
69,HIR-14-a- F,Performance of Government sponsored  Scheme (Health) - for the half-year period ,Half-yearly,45 days,Life/General/Health Insurers
70,HIR-14-a- U,Performance of Government sponsored  Scheme (Health) - upto the end of the period,Half-yearly,60 days,Life/General/Health Insurers
71,HIR-14-b- F,Performance of Government sponsored  Scheme (PA) - for the half-year period ,Half-yearly,45 days,General/Health Insurers
72,HIR-14-b- U,Performance of Government sponsored  Scheme (PA) - upto the end of the period,Half-yearly,60 days,General/Health Insurers
73,HIR-15-a-i-F,Details of Claims Handled Directly by Insurers (Health)(Group Other Than Family Floater) -for the half-year period ,Half-yearly,45 days,Life/General/Health Insurers
74,HIR-15-a-i-U,Details of Claims Handled Directly by Insurers (Health)(Group Other Than Family Floater)-upto the end of the period,Half-yearly,60 days,Life/General/Health Insurers
75,HIR-15-a-ii-F,Details of Claims Handled Directly by Insurers (Health)(Group Family Floater ) - for the half-year period ,Half-yearly,45 days,Life/General/Health Insurers
76,HIR-15-a-ii-U,Details of Claims Handled Directly by Insurers (Health)(Group Family Floater ) -upto the end of the period ,Half-yearly,60 days,Life/General/Health Insurers
77,HIR-15-a-iii-F,Details of Claims Handled Directly by Insurers (Health)(Individual Family Floater) - for the half-year period ,Half-yearly,45 days,Life/General/Health Insurers
78,HIR-15-a-iii-U,Details of Claims Handled Directly by Insurers (Health)(IndividualFamily Floater) -upto the end of the period ,Half-yearly,60 days,Life/General/Health Insurers
79,HIR-15-a-iv-F,Details of Claims Handled Directly by Insurers (Health)(Individual Other Than Family Floater ) - for the half-year period ,Half-yearly,45 days,Life/General/Health Insurers
80,HIR-15-a-iv-U,Details of Claims Handled Directly by Insurers (Health)(IndividualOther Than Family Floater ) -upto the end of the period ,Half-yearly,60 days,Life/General/Health Insurers
81,HIR-15-b-i-F,Details of Claims Handled Directly by Insurers (PA)(Group Policies) - for the half-year period ,Half-yearly,45 days,General/Health Insurers
82,HIR-15-b-i-U,Details of Claims Handled Directly by Insurers (PA)(Group Policies) -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
83,HIR-15-b-ii-F,Details of Claims Handled Directly by Insurers (PA)(Individual Policies) - for the half-year period ,Half-yearly,45 days,General/Health Insurers
84,HIR-15-b-ii-U,Details of Claims Handled Directly by Insurers (PA)(Individual Policies) -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
85,HIR-15-c-i- F,Details of Claims Handled Directly by Insurers (Domestic Travel)(Group Policies) - for the half-year period ,Half-yearly,45 days,General/Health Insurers
86,HIR-15-c-i- U,Details of Claims Handled Directly by Insurers (Domestic Travel)(Group Policies) -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
87,HIR-15-c-ii- F,Details of Claims Handled directly by insurers (Domestic Travel)(Individual Policies) -for the half-year period ,Half-yearly,45 days,General/Health Insurers
88,HIR-15-c-ii- U,Details of Claims Handled directly by insurers (Domestic Travel)(Individual Policies) -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
89,HIR-15-d-i- F,Details of Claims Handled directly by insurers (Overseas Travel)(Group Policies) - for the half-year period ,Half-yearly,45 days,General/Health Insurers
90,HIR-15-d-i- U,Details of Claims Handled directly by insurers (Overseas Travel)(Group Policies) -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
91,HIR-15-d-ii- F,Details of Claims Handled directly by insurers (Overseas Travel)(Individual Policies) - for the half-year period ,Half-yearly,45 days,General/Health Insurers
92,HIR-15-d-ii- U,Details of Claims Handled directly by insurers (Overseas Travel)(Individual Policies) -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
93,HIR-16-a-i - F,TPA wise details of claims settled (Health)(Group Other Than Family Floater)- for the half-year period ,Half-yearly,45 days,Life/General/Health Insurers
94,HIR-16-a-i - U,TPA wise details of claims settled (Health)(Group Other Than Family Floater) -upto the end of the period ,Half-yearly,60 days,Life/General/Health Insurers
95,HIR-16-a-ii- F,TPA wise details of claims settled (Health)(Group Family Floater )- for the half-year period ,Half-yearly,45 days,Life/General/Health Insurers
96,HIR-16-a-ii - U,TPA wise details of claims settled (Health)(Group Family Floater ) -upto the end of the period ,Half-yearly,60 days,Life/General/Health Insurers
97,HIR-16-a-iii - F,TPA wise details of claims settled (Health)(IndividualFamily Floater)- for the half-year period ,Half-yearly,45 days,Life/General/Health Insurers
98,HIR-16-a-iii - U,TPA wise details of claims settled (Health)(IndividualFamily Floater) -upto the end of the period ,Half-yearly,60 days,Life/General/Health Insurers
99,HIR-16-a-iv- F,TPA wise details of claims settled (Health)(Individual Other Than Family Floater )- for the half-year period ,Half-yearly,45 days,Life/General/Health Insurers
100,HIR-16-a-iv - U,TPA wise details of claims settled (Health)(Individual Other Than Family Floater ) -upto the end of the period ,Half-yearly,60 days,Life/General/Health Insurers
101,HIR-16-b-i- F,TPA wise details of claims settled(PA)(Group Policies)- for the half-year period ,Half-yearly,45 days,General/Health Insurers
102,HIR-16-b-i - U,TPA wise details of claims settled (PA)(Group Policies) -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
103,HIR-16-b-ii- F,TPA wise details of claims settleds (PA)(Individual Policies)- for the half-year period ,Half-yearly,45 days,General/Health Insurers
104,HIR-16-b-ii - U,TPA wise details of claims settled(PA)(Individual Policies) -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
105,HIR-16-c-i - F,TPA wise details of claims settled (Domestic Travel)(Group Policies) - for the half-year period ,Half-yearly,45 days,General/Health Insurers
106,HIR-16-c-i - U,TPA wise details of claims settled (Domestic Travel)(Group Policies) -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
107,HIR-16-c-ii - F,TPA wise details of claims settled (Domestic Travel)(Individual Policies) - for the half-year period ,Half-yearly,45 days,General/Health Insurers
108,HIR-16-c-ii - U,TPA wise details of claims settled (Domestic Travel)(Individual Policies) -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
109,HIR-16-d-i- F,TPA wise details of claims settled (Overseas Travel)(Group Policies) - for the half-year period ,Half-yearly,45 days,General/Health Insurers
110,HIR-16-d-i - U,TPA wise details of claims settled (Overseas Travel)(Group Policies) -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
111,HIR-16-d-ii - F,TPA wise details of claims settled (Overseas Travel)(Individual Policies) - for the half-year period ,Half-yearly,45 days,General/Health Insurers
112,HIR-16-d-ii - U,TPA wise details of claims settled (Overseas Travel)(Individual Policies) -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
113,HIR-17-a-i -F,State-wise data on mode of issuing of policies  - Health Insurance - Individual Policies - for the half-year period ,Half-yearly,45 days,Life/General/Health Insurers
114,HIR-17-a-i - U,State-wise data on mode of issuing of policies  - Health Insurance - Individual Policies -upto the end of the period ,Half-yearly,60 days,Life/General/Health Insurers
115,HIR-17-a-ii- F,State-wise data on mode of issuing of policies  - Health Insurance - Group Policies - for the half-year period ,Half-yearly,45 days,Life/General/Health Insurers
116,HIR-17-a-ii- U,State-wise data on mode of issuing of policies  - Health Insurance - Group Policies -upto the end of the period ,Half-yearly,60 days,Life/General/Health Insurers
117,HIR-17-b-i- F,State-wise data on mode of issuing of policies  - Personal Accident Insurance - Individual Policies - for the half-year period ,Half-yearly,45 days,General/Health Insurers
118,HIR-17-b-i- U,State-wise data on mode of issuing of policies  - Personal Accident Insurance - Individual Policies -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
119,HIR-17-b-ii-F,State-wise data on mode of issuing of policies  - Personal Accident Insurance - Group Policies - for the half-year period ,Half-yearly,45 days,General/Health Insurers
120,HIR-17-b-ii-U,State-wise data on mode of issuing of policies  - Personal Accident Insurance - Group Policies -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
121,HIR-17-c-i -F,State-wise data on mode of issuing of policies  - Overseas Travel Insurance - Individual Policies - for the half-year period ,Half-yearly,45 days,General/Health Insurers
122,HIR-17-c-i -U,State-wise data on mode of issuing of policies  - Overseas Travel Insurance - Individual Policies -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
123,HIR-17-c-ii-F,State-wise data on mode of issuing of policies  - Overseas Travel Insurance - Group Policies - for the half-year period ,Half-yearly,45 days,General/Health Insurers
124,HIR-17-c-ii-U,State-wise data on mode of issuing of policies  - Overseas Travel Insurance - Group Policies -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
125,HIR-17-d-i-F,State-wise data on mode of issuing of policies  - Domestic Travel Insurance - Individual Policies - for the half-year period ,Half-yearly,45 days,General/Health Insurers
126,HIR-17-d-i-U,State-wise data on mode of issuing of policies  - Domestic Travel Insurance Insurance - Individual Policies -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
127,HIR-17-d-ii-F,State-wise data on mode of issuing of policies  - Domestic Travel Insurance Insurance - Group Policies - for the half-year period ,Half-yearly,45 days,General/Health Insurers
128,HIR-17-d-ii-U,State-wise data on mode of issuing of policies  - Domestic Travel Insurance Insurance - Group Policies -upto the end of the period ,Half-yearly,60 days,General/Health Insurers
129,HIR-18-A,"Details of gross premium, no of persons covered and incurred claims - for the quarter",Quarterly,30 days,Life/General/Health Insurers
130,HIR-18-B,"Details of gross premium, no of persons covered and incurred claims - upto the end of the period ",Quarterly,60 days,Life/General/Health Insurers
131,HIR - 19-a -i- F,State-wise data on business & claims  (Health) - Group Policies (RSBY only) - for the quarter,Quarterly,30 days,General/Health Insurers
132,HIR - 19-a- i- U,State-wise data on business & claims  (Health) - Group Policies (RSBY only) -upto the end of the period ,Quarterly,60 days,General/Health Insurers
133,HIR - 19-a-ii - F,State-wise data on business & claims  (Health) - Group Policies (Other Govt Sponsored Schemes only) - for the quarter,Quarterly,30 days,Life/General/Health Insurers
134,HIR - 19-a-ii- U,State-wise data on business & claims  (Health) - Group Policies (Other Govt Sponsored Schemes only) -upto the end of the period ,Quarterly,60 days,Life/General/Health Insurers
135,HIR - 19-a -iii - F,State-wise data on business & claims  (Health) - Group Policies (Other than Govt Sponsored Schemes & RSBY) - for the quarter,Quarterly,30 days,Life/General/Health Insurers
136,HIR - 19-a - iii - U,State-wise data on business & claims  (Health) - Group Policies (Other than Govt Sponsored Schemes & RSBY) -upto the end of the period ,Quarterly,60 days,Life/General/Health Insurers
137,HIR - 19-a- iv- F,State-wise data on business & claims  (Health) - Individual Policies (Other than Govt Sponsored Schemes & RSBY) - for the quarter,Quarterly,30 days,Life/General/Health Insurers
138,HIR - 19-a- iv- U,State-wise data on business & claims  (Health) - Individual Policies (Other than Govt Sponsored Schemes & RSBY) -upto the end of the period ,Quarterly,60 days,Life/General/Health Insurers
139,HIR-19-b-i-F,State-wise data on business & claims  (PA) - Group Policies (PMSBY only) - for the quarter,Quarterly,30 days,General/Health Insurers
140,HIR-19-b-i-U,State-wise data on business & claims  (PA) - Group Policies (PMSBY only) - upto the end of the period ,Quarterly,60 days,General/Health Insurers
141,HIR-19-b-ii-F,State-wise data on business & claims  (PA) - Group Policies (Other than Govt Sponsored Schemes & PMSBY) - (for the quarter),Quarterly,30 days,General/Health Insurers
142,HIR-19-b-ii-U,State-wise data on business & claims  (PA) - Group Policies (Other than Govt Sponsored Schemes & PMSBY) - upto the end of the period ,Quarterly,60 days,General/Health Insurers
143,HIR-19-b-iii-F,State-wise data on business & claims  (PA) - Individual Policies - for the quarter,Quarterly,30 days,General/Health Insurers
144,HIR-19-b-iii-U,State-wise data on business & claims  (PA) - Individual Policies  - upto the end of the period ,Quarterly,60 days,General/Health Insurers
145,HIR-19-c-F,State-wise data on business & claims  (Domestic Travel) - Group plus Individual Business - for the quarter,Quarterly,30 days,General/Health Insurers
146,HIR-19-c-U,State-wise data on business & claims  (Domestic Travel) - Group plus Individual Business - upto the end of the period ,Quarterly,60 days,General/Health Insurers
147,HIR-19-d-F,State-wise data on business & claims  (Overseas Travel) - Group plus Individual Business - for the quarter,Quarterly,30 days,General/Health Insurers
148,HIR-19-d-U,State-wise data on business & claims  (Overseas Travel) - Group plus Individual Business - upto the end of the period ,Quarterly,60 days,General/Health Insurers
